Time,XRotation,YRotation,ZRotation,XPosition,YPosition,ZPosition
2.626601,-0.1284402,0.0006078519,0.004853043,-0.0007364303,0.01802993,-0.02176199
Building new room, if data available
2.643675,-0.1284536,0.0006147863,0.004851491,-0.000735417,0.01803122,-0.02176422
2.643675,-0.1284754,0.0006119446,0.004856314,-0.0007372089,0.01803414,-0.02176864
2.643675,-0.1284513,0.0006202603,0.004856644,-0.0007357858,0.01803125,-0.02176408
2.643675,-0.1284196,0.0006285946,0.00485612,-0.0007349402,0.01802775,-0.02175836
2.643675,-0.128437,0.0006369087,0.004851873,-0.0007326305,0.01802909,-0.02176094
2.643675,-0.1284624,0.000636815,0.004853889,-0.0007326119,0.01803198,-0.02176559
2.643675,-0.1284615,0.0006317677,0.004851536,-0.0007332638,0.01803249,-0.021766
2.643675,-0.1284309,0.0006375092,0.004852488,-0.0007326454,0.01802902,-0.02176039
2.643675,-0.1284395,0.0006352452,0.004856894,-0.0007337593,0.01802952,-0.02176154
2.643675,-0.1284822,0.0006323813,0.004862347,-0.0007350408,0.01803397,-0.021769
2.643675,-0.1284756,0.000642256,0.004872856,-0.0007352419,0.01803463,-0.02176909
2.643675,-0.1284423,0.0006393459,0.004869113,-0.0007354021,0.01803037,-0.02176254
2.643675,-0.1284481,0.0006420445,0.004871382,-0.0007351562,0.01803033,-0.02176297
2.643675,-0.1284842,0.0006424346,0.004880521,-0.0007366315,0.01803435,-0.02176952
2.643675,-0.1284937,0.0006443096,0.004884145,-0.0007364526,0.01803685,-0.02177257
2.643675,-0.1284555,0.000647918,0.004878114,-0.0007353351,0.01803241,-0.02176547
2.643675,-0.1284392,0.0006492686,0.004881436,-0.0007361099,0.01802951,-0.02176152
2.643675,-0.1284841,0.0006525292,0.004880931,-0.0007346943,0.01803328,-0.0217685
2.643675,-0.1285074,0.0006579508,0.004881745,-0.0007348731,0.01803769,-0.02177439
2.643675,-0.1284755,0.0006523071,0.004876683,-0.000735119,0.01803512,-0.02176953
2.643675,-0.1284375,0.0006491406,0.004883021,-0.0007357299,0.01802974,-0.02176159
2.643675,-0.1284717,0.0006546192,0.00488147,-0.0007352307,0.01803225,-0.02176658
2.643675,-0.1285033,0.0006481063,0.004884172,-0.0007361099,0.01803739,-0.02177381
2.643675,-0.1284828,0.0006582062,0.004883482,-0.0007351451,0.01803527,-0.02177024
2.643675,-0.1284514,0.0006618634,0.004877383,-0.0007334687,0.01803116,-0.02176398
2.643675,-0.1284748,0.0006685764,0.004878355,-0.0007326826,0.01803331,-0.02176777
2.643675,-0.1285017,0.0006655788,0.004875616,-0.0007327162,0.01803703,-0.02177332
2.643675,-0.1284803,0.0006667184,0.00487471,-0.0007324368,0.01803534,-0.02177009
2.643675,-0.1284492,0.0006641833,0.004880568,-0.0007336289,0.01803087,-0.02176353
2.643675,-0.1284684,0.0006721899,0.004886806,-0.0007335059,0.01803249,-0.02176653
2.643675,-0.1285033,0.0006674877,0.00488479,-0.0007338375,0.01803689,-0.02177332
2.643675,-0.1285021,0.0006617781,0.004878935,-0.0007337853,0.01803716,-0.02177348
2.643675,-0.1284705,0.0006567791,0.004876666,-0.0007341467,0.01803365,-0.02176777
2.643675,-0.128471,0.0006626108,0.004868716,-0.0007323697,0.01803337,-0.02176754
2.643675,-0.1284972,0.0006532317,0.004875076,-0.0007338151,0.01803623,-0.02177224
2.643675,-0.1284996,0.0006515075,0.004875474,-0.0007342622,0.01803685,-0.02177301
2.643675,-0.1284887,0.0006512694,0.004876245,-0.0007347725,0.01803556,-0.02177097
2.643675,-0.1284815,0.0006514487,0.004879246,-0.0007352829,0.01803464,-0.02176956
2.643675,-0.1284921,0.000652337,0.004870304,-0.0007338189,0.01803594,-0.02177157
2.643675,-0.1284942,0.0006727185,0.004868241,-0.000730861,0.01803634,-0.02177208
2.643675,-0.1284816,0.0006808888,0.004869441,-0.0007294752,0.01803471,-0.02176958
2.643675,-0.1284732,0.000680535,0.004877266,-0.0007308573,0.01803369,-0.02176799
2.643675,-0.1284796,0.0006834049,0.004873714,-0.0007297732,0.01803444,-0.02176917
2.643675,-0.1284999,0.0006817951,0.004881517,-0.0007311776,0.01803687,-0.02177302
2.643675,-0.1285034,0.0006828042,0.004879992,-0.0007309839,0.01803723,-0.02177362
2.643675,-0.1284923,0.00068819,0.004876348,-0.0007297583,0.01803605,-0.02177165
2.643675,-0.1284828,0.0006841889,0.004872171,-0.0007296726,0.01803478,-0.02176974
2.643675,-0.1284938,0.0006740728,0.004873484,-0.0007312335,0.01803605,-0.02177179
2.643675,-0.1285036,0.0006814521,0.004877228,-0.0007308498,0.01803726,-0.02177367
2.643675,-0.1284966,0.0006813544,0.004880689,-0.0007313751,0.01803646,-0.02177238
